項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号
n,alumi-bottun,i,,,スクウェア,-square,ブルー,-01blue,0,94,0,0,,
n,alumi-bottun,i,,,スクウェア,-square,レッド,-02red,0,204,0,0,,
n,alumi-bottun,i,,,スクウェア,-square,グレー,-03gray,0,102,0,0,,
n,alumi-bottun,i,,,スクウェア,-square,シルバー,-04silver,0,64,0,0,,
n,alumi-bottun,i,,,スクウェア,-square,ブラック,-05black,0,93,0,0,,
n,alumi-bottun,i,,,スクウェア,-square,マゼンタ,-06magenta,0,78,0,0,,
n,alumi-bottun,i,,,パワー,-power,ブルー,-01blue,0,98,0,0,,
n,alumi-bottun,i,,,パワー,-power,レッド,-02red,0,200,0,0,,
n,alumi-bottun,i,,,パワー,-power,グレー,-03gray,0,100,0,0,,
n,alumi-bottun,i,,,パワー,-power,シルバー,-04silver,0,96,0,0,,
n,alumi-bottun,i,,,パワー,-power,ブラック,-05black,0,106,0,0,,
n,alumi-bottun,i,,,パワー,-power,マゼンタ,-06magenta,0,83,0,0,,
n,alumi-bottun,i,,,アップル,-apple,ブルー,-01blue,0,180,0,0,,
n,alumi-bottun,i,,,アップル,-apple,レッド,-02red,0,148,0,0,,
n,alumi-bottun,i,,,アップル,-apple,グレー,-03gray,0,92,0,0,,
n,alumi-bottun,i,,,アップル,-apple,シルバー,-04silver,0,231,0,0,,
n,alumi-bottun,i,,,アップル,-apple,ブラック,-05black,0,60,0,0,,
n,alumi-bottun,i,,,アップル,-apple,マゼンタ,-06magenta,0,45,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,ブルー,-01blue,0,107,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,レッド,-02red,0,99,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,グレー,-03gray,0,100,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,シルバー,-04silver,0,110,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,ブラック,-05black,0,103,0,0,,
n,alumi-bottun,i,,,ドクロ,-skull,マゼンタ,-06magenta,0,91,0,0,,
n,alumi-bottun,i,,,シリ,-siri,ブルー,-01blue,0,37,0,0,,
n,alumi-bottun,i,,,シリ,-siri,レッド,-02red,0,34,0,0,,
n,alumi-bottun,i,,,シリ,-siri,グレー,-03gray,0,34,0,0,,
n,alumi-bottun,i,,,シリ,-siri,シルバー,-04silver,0,35,0,0,,
n,alumi-bottun,i,,,シリ,-siri,ブラック,-05black,0,37,0,0,,
n,alumi-bottun,i,,,シリ,-siri,マゼンタ,-06magenta,0,100,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,ブルー,-01blue,0,47,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,レッド,-02red,0,44,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,グレー,-03gray,0,199,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,シルバー,-04silver,0,37,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,ブラック,-05black,0,46,0,0,,
n,alumi-bottun,i,,,スマイル,-smile,マゼンタ,-06magenta,0,0,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,ブルー,-01blue,0,37,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,レッド,-02red,0,29,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,グレー,-03gray,0,0,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,シルバー,-04silver,0,0,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,ブラック,-05black,0,0,0,0,,
n,alumi-bottun,i,,,リボン,-ribbon,マゼンタ,-06magenta,0,0,0,0,,
n,aquos-zeta-flower,i,,, , ,レッド,-01Red,0,190,0,0,,
n,aquos-zeta-flower,i,,, , ,ピンク,-02Pnk,0,104,0,0,,
n,aquos-zeta-flower,i,,, , ,ホワイト,-03Wht,0,102,0,0,,
n,aquos-zeta-flower,i,,, , ,ミント,-04Mnt,0,91,0,0,,
n,aquos-zeta-flower,i,,, , ,レッドパープル,-05Red-Ppl,0,95,0,0,,
n,aquos-zeta-flower,i,,, , ,ブラックレッド,-06Blk-Red,0,86,0,0,,
n,aquos-zeta-flower,i,,, , ,マルチカラー,-07Malti,0,78,0,0,,
n,aquos-zeta-flower,i,,, , ,スカイブルー,-08Sky-Blue,0,76,0,0,,
n,aux-cable,i,,,<br>,,ブラック,-01Blk,0,25,0,0,,
n,aux-cable,i,,,<br>,,ホワイト,-02Wht,0,29,0,0,,
n,boris-mobilestand,i,,,<br>,,レッド,-red,0,58,0,0,,
n,boris-mobilestand,i,,,<br>,,ホワイト,-white,0,64,0,0,,
n,boris-mobilestand,i,,,<br>,,ブラック,-blk,0,18,0,0,,
n,cocophone,i,,, , ,ピンク,-1-pnk,0,77,0,0,,
n,cocophone,i,,, , ,オレンジ,-2-org,0,48,0,0,,
n,cocophone,i,,, , ,グリーン,-3-grn,0,29,0,0,,
